id,age,gender,nationality,familiarity,personalityResponses,preSurveyResponses,timeSpent,fightCnt,punchCnt,avgSpeed,totalDist,collectedItemCnt,totalItemCnt,crowdPersonality,postSurveyResponses
A2KOXR5OXIFUIW,34, Male , Asian ,-2," [1,1,4,6,4,4,3,6,0,2]"," [2,1,1,1,1,2,-1,-1,1,1,0,0,1,1,1,2,2]",173.851,4,125,0.511528,88.9425,1,22,0," [-1,1,-1,0,-1,-1,-2,-2,0,-1,-1,-1,-1,-1,0,-2,1]"
A2RDYOW6XVDH1I,30, Male , White ,0," [3,3,3,3,3,3,3,3,3,3]"," [-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1]",52.3533,1,13,0.749184,39.4821,7,16,0," [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
A2S9SAGO12WZ6P,28, Female , White ,0," [0,3,5,5,1,6,5,1,2,5]"," [1,-1,-1,-1,1,1,-1,-1,0,-2,-1,1,-2,2,1,2,1]",145.76,5,123,0.378586,55.2048,0,8,0," [-1,-2,-2,-1,-1,-2,-3,-3,-1,-2,-1,-1,1,1,2,-1,0]"
A2Y87M8V0N1M6P,31, Female , White ,3," [0,4,4,6,1,6,4,2,0,5]"," [2,0,1,0,2,2,1,1,1,2,0,2,1,2,0,1,0]",67.6458,2,20,1.33316,90.2006,2,14,0," [-1,0,-1,-1,1,-2,-1,-1,-1,0,-1,-1,0,0,0,-1,0]"
A34YNEN8UUI3CD,41, Male , White ,," [4,5,4,4,6,5,4,5,2,1]"," [1,1,-2,1,-2,1,-1,-1,1,1,1,1,-1,1,-1,0,1]",56.8655,2,30,0.585075,33.2793,0,7,0," [-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1]"
A3DZ59NMAV9AAC,0, Male , White ,2," [0,0,0,0,0,5,5,6,6,6]"," [0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1]",121.884,2,30,0.398259,48.6749,0,12,0," [2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1]"
A3QPVH0DRW0ZQV,46, Female , White ,," [4,0,6,0,4,4,6,0,6,4]"," [-1,-2,-3,-3,-1,-2,-2,-2,0,0,-3,-1,-1,-2,-1,-2,0]",74.0623,0,0,2.03201,150.528,0,0,0," [0,0,-2,-2,-1,-3,-3,-1,-1,0,-3,-3,-1,-2,-1,-2,-1]"
A3RTW9UWYKSNWX,26, Male , Hispanic / Latinx ,3," [0,1,5,0,6,5,2,2,6,1]"," [-1,0,-1,-1,-1,-2,1,3,-3,-3,-2,1,-1,-3,-2,-1,-2]",123.634,2,313,0.856556,105.902,0,11,0," [-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-3,-2,-2,-1,-1,-2,-3]"
A8EOOD4XSEJAB,46, Male , White ,3," [6,5,4,0,6,2,2,0,3,1]"," [-3,-3,-3,-3,-3,-2,3,-3,-2,-1,-2,3,-3,-2,-3,-1,-2]",175.549,3,249,0.847315,148.768,0,5,0," [-3,-3,-3,-3,-3,-1,3,-3,-2,-1,-1,2,-2,1,-3,-1,-2]"
AP7J9TDQAHP46,23, Female , Hispanic / Latinx ,0," [3,3,4,4,4,3,3,4,4,4]"," [1,1,-1,-1,1,1,-1,1,0,-1,1,1,-1,1,1,-1,1]",66.2562,2,31,0.850495,56.3701,1,13,0," [-1,-1,-1,-1,-1,-3,-2,2,2,2,1,3,-2,-1,-2,-2,-1]"
AQNCH42WD4ITI,32, Male , Asian ,," [1,1,5,4,3,4,1,3,4,4]"," [0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0]",39.7267,0,0,0.972675,38.9652,5,1,0," [0,3,0,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0]"
AVIEE6LDH0BT5,20, Male , White ,," [0,0,5,1,3,6,4,1,3,2]"," [2,0,0,-2,-2,-2,0,-2,0,-3,-1,-3,0,0,-2,-2,2]",45.1782,0,0,1.03985,47.0009,2,0,0," [-3,-3,-3,-3,-3,-3,-2,-3,-2,1,-3,-2,2,2,2,2,2]"
AWZ4V9KQZ19BB,55, Male , Other ,3," [1,4,4,4,4,5,5,2,4,1]"," [-1,-1,-1,-2,-3,2,1,3,1,1,-3,3,0,1,-1,1,1]",317.051,6,1350,0.544297,172.571,0,8,0," [1,1,1,1,1,-1,-2,-2,-1,-1,-3,-2,-1,1,-1,-2,-1]"
AY5ICL40E5795,25, Male , White ,3," [2,4,5,5,4,3,3,2,3,4]"," [1,1,1,-1,0,-1,2,3,1,1,-2,0,-1,-1,0,-2,-2]",60.8931,2,28,1.59655,97.2609,4,2,0," [1,2,0,0,1,0,0,0,0,0,-2,0,-1,-1,0,-2,-2]"
